City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,ponto novo,-10.8628,-40.1336,23.8,69,78,4.14,BR,1697333572
290,coronel dorrego,-38.7187,-61.2873,16.86,31,100,9.49,AR,1697333573
291,muynoq,43.7683,59.0214,9.53,45,78,1.96,UZ,1697332987
292,lieto,60.5103,22.4618,9.57,78,75,9.26,FI,1697333573
293,poli,-3.3333,36.8,16.52,87,92,1.51,TZ,1697333573
294,chibougamau,49.9168,-74.3659,6.79,81,100,4.63,CA,1697333573
295,cabo san lucas,22.8909,-109.9124,29.23,72,0,5.14,MX,1697333230
296,armavir,44.9892,41.1234,12.82,51,0,4.07,RU,1697333573
297,ancud,-41.8697,-73.8203,7.87,81,100,1.89,CL,1697333573
298,brandon,27.9378,-82.2859,24.93,85,0,1.54,US,1697333494
299,yichun,47.7,128.9,6.47,43,13,6.28,CN,1697333573
300,kalinovskaya,43.5758,45.5192,9.69,88,0,2.11,RU,1697333574
301,mugia,43.1041,-9.2179,15.51,81,100,2.17,ES,1697333574
302,saint-pierre,-21.3393,55.4781,21.82,68,0,2.06,RE,1697333574
303,baijiantan,45.6333,85.1833,11.32,33,62,9.74,CN,1697333574
304,staraya kulatka,52.7167,47.6167,7.05,77,26,3.97,RU,1697333574
305,lesnoy,57.6198,63.0784,1.65,89,65,2.77,RU,1697333574
306,yuzhno-kurilsk,44.0306,145.8556,14.1,69,52,2.34,RU,1697333574
307,susuman,62.7833,148.1667,-9.45,83,100,0.89,RU,1697333574
308,unionville,35.0874,-80.509,19.34,94,0,3.09,US,1697333574
309,abalak,58.1286,68.5944,3.53,86,26,2.69,RU,1697333575
310,gizo,-8.103,156.8419,28.69,73,62,1.36,SB,1697333575
311,vung tau,10.346,107.0843,27.38,82,100,2.42,VN,1697333306
312,ulsan,35.5372,129.3167,18.85,53,0,4.4,KR,1697333299
313,sholokhovskiy,48.2807,41.0459,11.18,84,0,2.6,RU,1697333575
314,porto novo,6.4965,2.6036,25.5,90,52,1.93,BJ,1697333575
315,carutapera,-1.195,-46.02,26.68,76,80,3.38,BR,1697332988
316,rongelap,11.1635,166.8941,28.53,74,90,3.54,MH,1697333557
317,puerto baquerizo moreno,-0.9,-89.6,23.64,83,75,4.77,EC,1697333575
318,mar del plata,-38.0023,-57.5575,14.49,93,0,3.6,AR,1697332996
319,egilsstadir,65.2653,-14.3948,-3.05,80,75,0.0,IS,1697332994
320,sanming,26.2486,117.6186,23.99,64,7,1.33,CN,1697333576
321,primero de mayo,-32.2552,-58.4228,12.17,80,0,3.85,AR,1697333539
322,doume,4.2333,13.45,19.94,100,100,0.98,CM,1697333576
323,zaozersk,69.4005,32.4476,1.91,98,100,14.96,RU,1697333576
324,mazagao,-0.115,-51.2894,29.03,74,96,3.15,BR,1697333576
325,palikir - national government center,6.9248,158.1611,30.47,74,75,4.12,FM,1697333576
326,baringo,0.4667,35.9667,21.4,72,99,2.4,KE,1697333576
327,kushiro,42.975,144.3747,17.53,72,40,1.54,JP,1697333576
328,pombas,17.1503,-25.0201,26.88,80,100,3.08,CV,1697333577
329,karagay,58.2667,54.9368,4.95,92,100,4.77,RU,1697333577
330,jolalpan,18.325,-98.8417,25.59,62,100,0.88,MX,1697333577
331,dali,25.7,100.1833,16.12,80,38,0.53,CN,1697333577
332,at taj,24.2049,23.2857,19.84,37,0,4.44,LY,1697333401
333,sitka,57.0531,-135.33,11.94,71,100,0.0,US,1697333577
334,yemetsk,63.4721,41.7941,9.38,76,100,5.39,RU,1697333577
335,daru,-9.0763,143.2092,27.03,78,72,5.63,PG,1697333577
336,donggang,28.9365,114.2259,23.64,50,0,0.43,CN,1697333577
337,antsiranana,-12.2787,49.2917,23.3,92,24,2.86,MG,1697333517
338,alaghsas,17.0187,8.0168,28.8,17,8,7.45,NE,1697333578
339,acarau,-2.8856,-40.12,26.15,82,45,8.38,BR,1697333578
340,pasighat,28.0667,95.3333,24.15,63,88,0.25,IN,1697333578
341,brisas de zicatela,15.8369,-97.0419,29.29,54,75,0.0,MX,1697333578
342,bandar abbas,27.1865,56.2808,27.99,94,20,2.06,IR,1697333578
343,urubamba,-13.3047,-72.1158,15.5,78,64,1.94,PE,1697333378
344,bolgar,54.95,49.0667,10.39,71,97,8.23,RU,1697333578
345,lammi,61.0833,25.0167,7.41,75,100,7.27,FI,1697333578
346,glendive,47.1053,-104.7125,8.79,61,0,3.6,US,1697333578
347,kansanshi,-12.0951,26.4273,18.21,83,100,2.52,ZM,1697333579
348,chita,52.0333,113.55,-0.06,59,15,4.0,RU,1697333579
349,ust'-ilimsk,58.0006,102.6619,4.69,74,99,4.02,RU,1697333579
350,hunchun,42.8675,130.3581,19.02,45,29,5.36,CN,1697333579
351,thames,-37.1333,175.5333,19.74,53,45,5.34,NZ,1697333579
352,hood river,45.7054,-121.5215,15.85,88,100,2.68,US,1697333326
353,dryden,49.7833,-92.7503,5.16,81,0,2.57,CA,1697333579
354,luderitz,-26.6481,15.1594,12.73,97,17,1.0,NA,1697333579
